hour,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales
2017-01-07 03:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-07 04:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-07 05:00:00,1,19.950,0.000,0.000,19.950,10.990,0.000,30.940
2017-01-07 06:00:00,2,44.900,0.000,0.000,44.900,0.000,0.000,44.900
2017-01-07 07:00:00,4,119.800,0.000,0.000,119.800,10.990,0.000,130.790
2017-01-07 08:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-07 09:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-07 10:00:00,4,189.750,0.000,0.000,189.750,0.000,0.000,189.750
2017-01-07 11:00:00,7,239.650,-8.730,0.000,230.920,0.000,0.000,230.920
2017-01-07 12:00:00,2,59.900,0.000,0.000,59.900,0.000,0.000,59.900
2017-01-07 13:00:00,3,109.850,0.000,0.000,109.850,0.000,0.000,109.850
2017-01-07 14:00:00,6,184.700,-2.990,0.000,181.710,0.000,0.000,181.710
2017-01-07 15:00:00,5,159.750,0.000,0.000,159.750,0.000,0.000,159.750
2017-01-07 16:00:00,5,174.750,0.000,0.000,174.750,0.000,0.000,174.750
2017-01-07 17:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-07 18:00:00,5,184.750,0.000,0.000,184.750,0.000,0.000,184.750
2017-01-07 19:00:00,6,209.700,0.000,0.000,209.700,0.000,0.000,209.700
2017-01-07 20:00:00,5,209.700,-19.950,0.000,189.750,0.000,0.000,189.750
2017-01-07 21:00:00,2,59.900,0.000,0.000,59.900,0.000,0.000,59.900
2017-01-07 22:00:00,3,119.800,0.000,0.000,119.800,0.000,0.000,119.800
2017-01-07 23:00:00,4,139.800,0.000,0.000,139.800,0.000,0.000,139.800
2017-01-08 00:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-08 01:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-08 02:00:00,0,0.000,0.000,-69.900,-69.900,0.000,0.000,-69.900
2017-01-08 03:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-08 04:00:00,1,24.950,0.000,0.000,24.950,0.000,0.000,24.950
2017-01-08 05:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-08 06:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-08 07:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
